hora_franja,estado,documento,fecha,suc_cod,hora
30,Nada,1015,2023-12-11,834,07:30
31,Trabaja,1015,2023-12-11,834,07:45
32,Trabaja,1015,2023-12-11,834,08:00
33,Trabaja,1015,2023-12-11,834,08:15
34,Trabaja,1015,2023-12-11,834,08:30
35,Trabaja,1015,2023-12-11,834,08:45
36,Trabaja,1015,2023-12-11,834,09:00
37,Pausa Activa,1015,2023-12-11,834,09:15
38,Trabaja,1015,2023-12-11,834,09:30
39,Trabaja,1015,2023-12-11,834,09:45
40,Trabaja,1015,2023-12-11,834,10:00
41,Trabaja,1015,2023-12-11,834,10:15
42,Trabaja,1015,2023-12-11,834,10:30
43,Trabaja,1015,2023-12-11,834,10:45
44,Trabaja,1015,2023-12-11,834,11:00
45,Trabaja,1015,2023-12-11,834,11:15
46,Almuerza,1015,2023-12-11,834,11:30
47,Almuerza,1015,2023-12-11,834,11:45
48,Almuerza,1015,2023-12-11,834,12:00
49,Almuerza,1015,2023-12-11,834,12:15
50,Almuerza,1015,2023-12-11,834,12:30
51,Almuerza,1015,2023-12-11,834,12:45
52,Trabaja,1015,2023-12-11,834,13:00
53,Trabaja,1015,2023-12-11,834,13:15
54,Trabaja,1015,2023-12-11,834,13:30
55,Trabaja,1015,2023-12-11,834,13:45
56,Pausa Activa,1015,2023-12-11,834,14:00
57,Trabaja,1015,2023-12-11,834,14:15
58,Trabaja,1015,2023-12-11,834,14:30
59,Trabaja,1015,2023-12-11,834,14:45
60,Trabaja,1015,2023-12-11,834,15:00
61,Trabaja,1015,2023-12-11,834,15:15
62,Trabaja,1015,2023-12-11,834,15:30
63,Trabaja,1015,2023-12-11,834,15:45
64,Trabaja,1015,2023-12-11,834,16:00
65,Nada,1015,2023-12-11,834,16:15
66,Nada,1015,2023-12-11,834,16:30
67,Nada,1015,2023-12-11,834,16:45
68,Nada,1015,2023-12-11,834,17:00
69,Nada,1015,2023-12-11,834,17:15
70,Nada,1015,2023-12-11,834,17:30
71,Nada,1015,2023-12-11,834,17:45
72,Nada,1015,2023-12-11,834,18:00
73,Nada,1015,2023-12-11,834,18:15
74,Nada,1015,2023-12-11,834,18:30
75,Nada,1015,2023-12-11,834,18:45
76,Nada,1015,2023-12-11,834,19:00
77,Nada,1015,2023-12-11,834,19:15
78,Nada,1015,2023-12-11,834,19:30
30,Trabaja,1016,2023-12-11,834,07:30
31,Trabaja,1016,2023-12-11,834,07:45
32,Trabaja,1016,2023-12-11,834,08:00
33,Trabaja,1016,2023-12-11,834,08:15
34,Trabaja,1016,2023-12-11,834,08:30
35,Trabaja,1016,2023-12-11,834,08:45
36,Pausa Activa,1016,2023-12-11,834,09:00
37,Trabaja,1016,2023-12-11,834,09:15
38,Trabaja,1016,2023-12-11,834,09:30
39,Trabaja,1016,2023-12-11,834,09:45
40,Trabaja,1016,2023-12-11,834,10:00
41,Trabaja,1016,2023-12-11,834,10:15
42,Trabaja,1016,2023-12-11,834,10:30
43,Trabaja,1016,2023-12-11,834,10:45
44,Trabaja,1016,2023-12-11,834,11:00
45,Pausa Activa,1016,2023-12-11,834,11:15
46,Trabaja,1016,2023-12-11,834,11:30
47,Trabaja,1016,2023-12-11,834,11:45
48,Trabaja,1016,2023-12-11,834,12:00
49,Trabaja,1016,2023-12-11,834,12:15
50,Trabaja,1016,2023-12-11,834,12:30
51,Almuerza,1016,2023-12-11,834,12:45
52,Almuerza,1016,2023-12-11,834,13:00
53,Almuerza,1016,2023-12-11,834,13:15
54,Almuerza,1016,2023-12-11,834,13:30
55,Almuerza,1016,2023-12-11,834,13:45
56,Almuerza,1016,2023-12-11,834,14:00
57,Trabaja,1016,2023-12-11,834,14:15
58,Trabaja,1016,2023-12-11,834,14:30
59,Trabaja,1016,2023-12-11,834,14:45
60,Trabaja,1016,2023-12-11,834,15:00
61,Trabaja,1016,2023-12-11,834,15:15
62,Trabaja,1016,2023-12-11,834,15:30
63,Trabaja,1016,2023-12-11,834,15:45
64,Nada,1016,2023-12-11,834,16:00
65,Nada,1016,2023-12-11,834,16:15
66,Nada,1016,2023-12-11,834,16:30
67,Nada,1016,2023-12-11,834,16:45
68,Nada,1016,2023-12-11,834,17:00
69,Nada,1016,2023-12-11,834,17:15
70,Nada,1016,2023-12-11,834,17:30
71,Nada,1016,2023-12-11,834,17:45
72,Nada,1016,2023-12-11,834,18:00
73,Nada,1016,2023-12-11,834,18:15
74,Nada,1016,2023-12-11,834,18:30
75,Nada,1016,2023-12-11,834,18:45
76,Nada,1016,2023-12-11,834,19:00
77,Nada,1016,2023-12-11,834,19:15
78,Nada,1016,2023-12-11,834,19:30
30,Nada,1017,2023-12-11,834,07:30
31,Nada,1017,2023-12-11,834,07:45
32,Nada,1017,2023-12-11,834,08:00
33,Trabaja,1017,2023-12-11,834,08:15
34,Trabaja,1017,2023-12-11,834,08:30
35,Trabaja,1017,2023-12-11,834,08:45
36,Trabaja,1017,2023-12-11,834,09:00
37,Trabaja,1017,2023-12-11,834,09:15
38,Pausa Activa,1017,2023-12-11,834,09:30
39,Trabaja,1017,2023-12-11,834,09:45
40,Trabaja,1017,2023-12-11,834,10:00
41,Trabaja,1017,2023-12-11,834,10:15
42,Trabaja,1017,2023-12-11,834,10:30
43,Trabaja,1017,2023-12-11,834,10:45
44,Pausa Activa,1017,2023-12-11,834,11:00
45,Trabaja,1017,2023-12-11,834,11:15
46,Trabaja,1017,2023-12-11,834,11:30
47,Trabaja,1017,2023-12-11,834,11:45
48,Trabaja,1017,2023-12-11,834,12:00
49,Trabaja,1017,2023-12-11,834,12:15
50,Trabaja,1017,2023-12-11,834,12:30
51,Trabaja,1017,2023-12-11,834,12:45
52,Trabaja,1017,2023-12-11,834,13:00
53,Almuerza,1017,2023-12-11,834,13:15
54,Almuerza,1017,2023-12-11,834,13:30
55,Almuerza,1017,2023-12-11,834,13:45
56,Almuerza,1017,2023-12-11,834,14:00
57,Almuerza,1017,2023-12-11,834,14:15
58,Almuerza,1017,2023-12-11,834,14:30
59,Trabaja,1017,2023-12-11,834,14:45
60,Trabaja,1017,2023-12-11,834,15:00
61,Trabaja,1017,2023-12-11,834,15:15
62,Trabaja,1017,2023-12-11,834,15:30
63,Trabaja,1017,2023-12-11,834,15:45
64,Trabaja,1017,2023-12-11,834,16:00
65,Trabaja,1017,2023-12-11,834,16:15
66,Trabaja,1017,2023-12-11,834,16:30
67,Nada,1017,2023-12-11,834,16:45
68,Nada,1017,2023-12-11,834,17:00
69,Nada,1017,2023-12-11,834,17:15
70,Nada,1017,2023-12-11,834,17:30
71,Nada,1017,2023-12-11,834,17:45
72,Nada,1017,2023-12-11,834,18:00
73,Nada,1017,2023-12-11,834,18:15
74,Nada,1017,2023-12-11,834,18:30
75,Nada,1017,2023-12-11,834,18:45
76,Nada,1017,2023-12-11,834,19:00
